Bob Training On size: w=5, h=5, c=4
batch,num_episodes,win_rate,min_score,avg_score,max_score,avg_length,actor_loss,value_loss,entropy_loss
100,1746,0.1598,-10.0000,-6.8041,10.0000,11.4582,0.000596,1.248504,-0.025127
200,1746,0.1598,-10.0000,-6.8041,10.0000,11.4536,0.001215,4.283046,-0.033568
300,1766,0.1869,-10.0000,-6.2627,10.0000,11.3250,-0.006979,0.818036,-0.032726
400,1767,0.1930,-10.0000,-6.1404,10.0000,11.3214,-0.005173,2.456257,-0.033315
500,1771,0.1925,-10.0000,-6.1491,10.0000,11.2931,-0.012748,4.371904,-0.034173
600,1781,0.2055,-10.0000,-5.8899,10.0000,11.2252,0.023494,2.074674,-0.033304
700,1779,0.1979,-10.0000,-6.0427,10.0000,11.2417,0.003554,2.690195,-0.033569
800,1771,0.1909,-10.0000,-6.1829,10.0000,11.2925,-0.002375,1.710981,-0.033201
900,1772,0.1936,-10.0000,-6.1287,10.0000,11.2906,-0.000276,2.461827,-0.033632
1000,1760,0.1795,-10.0000,-6.4091,10.0000,11.3642,-0.026897,1.578051,-0.032502
1100,1762,0.1674,-10.0000,-6.6515,10.0000,11.3507,-0.003282,1.177876,-0.032733
1200,1783,0.1985,-10.0000,-6.0292,10.0000,11.2120,0.002702,5.220603,-0.034396
1300,1765,0.1734,-10.0000,-6.5326,10.0000,11.3337,0.001235,3.374965,-0.033607
1400,1772,0.1874,-10.0000,-6.2528,10.0000,11.2889,0.014269,0.576148,-0.032771
1500,1781,0.2033,-10.0000,-5.9349,10.0000,11.2268,-0.002402,0.561295,-0.032748
1600,1763,0.1747,-10.0000,-6.5060,10.0000,11.3483,-0.000281,1.528292,-0.032529
1700,1759,0.1734,-10.0000,-6.5321,10.0000,11.3650,0.016799,0.444357,-0.032694
1800,1772,0.1834,-10.0000,-6.3318,10.0000,11.2884,0.006296,3.941242,-0.033242
1900,1766,0.1784,-10.0000,-6.4326,10.0000,11.3228,0.005560,2.226890,-0.032702
2000,1777,0.1970,-10.0000,-6.0608,10.0000,11.2555,0.020716,2.481002,-0.033186
2100,1764,0.1780,-10.0000,-6.4399,10.0000,11.3373,0.015833,2.112235,-0.032834
2200,1767,0.1788,-10.0000,-6.4233,10.0000,11.3226,-0.002044,2.076200,-0.030740
2300,1762,0.1856,-10.0000,-6.2883,10.0000,11.3502,-0.000487,2.082998,-0.033495
2400,1765,0.1756,-10.0000,-6.4873,10.0000,11.3337,-0.002467,1.922702,-0.033096
2500,1764,0.1746,-10.0000,-6.5079,10.0000,11.3367,0.002533,2.547550,-0.032936
2600,1779,0.1917,-10.0000,-6.1664,10.0000,11.2411,0.010932,1.127530,-0.033091
2700,1775,0.1961,-10.0000,-6.0789,10.0000,11.2687,0.014801,0.749138,-0.032670
2800,1768,0.1804,-10.0000,-6.3914,10.0000,11.3128,-0.000843,1.426993,-0.033565
2900,1773,0.1799,-10.0000,-6.4016,10.0000,11.2752,-0.014812,1.418053,-0.032860
3000,1769,0.1820,-10.0000,-6.3595,10.0000,11.3098,-0.000701,1.081720,-0.033016
3100,1762,0.1765,-10.0000,-6.4699,10.0000,11.3490,0.014508,1.343877,-0.033215
3200,1770,0.1819,-10.0000,-6.3616,10.0000,11.2983,0.006833,2.603315,-0.033539
3300,1776,0.1836,-10.0000,-6.3288,10.0000,11.2630,0.009949,3.216808,-0.033358
3400,1772,0.1868,-10.0000,-6.2641,10.0000,11.2884,0.002609,0.934190,-0.032855
3500,1766,0.1806,-10.0000,-6.3873,10.0000,11.3245,-0.008687,0.823572,-0.032227
3600,1761,0.1743,-10.0000,-6.5133,10.0000,11.3572,0.008355,2.686272,-0.033345
3700,1759,0.1711,-10.0000,-6.5776,10.0000,11.3667,-0.000027,1.743862,-0.033151
3800,1772,0.1800,-10.0000,-6.3995,10.0000,11.2872,0.015053,1.221680,-0.033031
3900,1776,0.1931,-10.0000,-6.1374,10.0000,11.2663,-0.012118,2.474801,-0.033242
4000,1772,0.1907,-10.0000,-6.1851,10.0000,11.2850,0.000318,2.105517,-0.033257
4100,1766,0.1795,-10.0000,-6.4100,10.0000,11.3216,0.008917,1.636383,-0.032696
4200,1766,0.1784,-10.0000,-6.4326,10.0000,11.3267,-0.008531,2.008315,-0.033545
4300,1760,0.1710,-10.0000,-6.5795,10.0000,11.3653,0.010999,1.381864,-0.032939
4400,1769,0.1837,-10.0000,-6.3256,10.0000,11.3070,-0.007692,3.430187,-0.034059
4500,1778,0.1985,-10.0000,-6.0292,10.0000,11.2492,0.004741,0.806906,-0.033052
4600,1755,0.1658,-10.0000,-6.6838,10.0000,11.3915,-0.006215,1.252526,-0.031587
4700,1768,0.1855,-10.0000,-6.2896,10.0000,11.3128,0.010530,1.325369,-0.033307
4800,1767,0.1743,-10.0000,-6.5139,10.0000,11.3198,-0.007394,2.990538,-0.034039
4900,1773,0.1873,-10.0000,-6.2549,10.0000,11.2775,-0.006493,2.900547,-0.033534
5000,1763,0.1798,-10.0000,-6.4039,10.0000,11.3443,-0.001869,2.205340,-0.032710
5100,1783,0.2058,-10.0000,-5.8833,10.0000,11.2227,0.004123,1.467444,-0.033045
5200,1777,0.1964,-10.0000,-6.0720,10.0000,11.2504,0.013673,0.520847,-0.032816
