Alice Training On size: w=5, h=5, c=4
batch,num_episodes,win_rate,min_score,avg_score,max_score,avg_length,actor_loss,value_loss,entropy_loss
100,2338,0.0453,-10.0000,-9.0932,10.0000,4.2780,-0.430241,5.820698,-0.035303
200,2348,0.0464,-10.0000,-9.0716,10.0000,4.2538,0.008724,2.549385,-0.036939
300,2328,0.0571,-10.0000,-8.8574,10.0000,4.3003,0.017355,0.372476,-0.035380
400,2001,0.1389,-10.0000,-7.2214,10.0000,4.9980,-0.296703,2.821677,-0.020791
500,1224,0.4804,-10.0000,-0.3922,10.0000,8.1658,0.162940,0.699483,-0.015752
600,888,0.8063,-10.0000,6.1261,10.0000,11.2545,0.110874,1.407122,-0.013406
700,828,0.8961,-10.0000,7.9227,10.0000,12.0882,0.145319,1.640670,-0.009978
800,808,0.9245,-10.0000,8.4901,10.0000,12.3676,-0.095689,0.826138,-0.013642
900,798,0.9424,-10.0000,8.8471,10.0000,12.5276,-0.080590,0.022766,-0.011555
1000,798,0.9449,-10.0000,8.8972,10.0000,12.5363,0.178847,0.030003,-0.011559
1100,798,0.9449,-10.0000,8.8972,10.0000,12.5301,-0.326602,0.007103,-0.012162
1200,788,0.9632,-10.0000,9.2640,10.0000,12.6904,-0.159862,0.003628,-0.010911
1300,787,0.9670,-10.0000,9.3393,10.0000,12.7154,0.091117,0.003879,-0.012823
1400,789,0.9607,-10.0000,9.2142,10.0000,12.6705,-0.217452,0.006908,-0.013223
1500,786,0.9682,-10.0000,9.3639,10.0000,12.7265,0.220316,0.009914,-0.014655
1600,779,0.9795,-10.0000,9.5892,10.0000,12.8267,-0.042206,0.002729,-0.013321
1700,784,0.9719,-10.0000,9.4388,10.0000,12.7615,-0.396286,0.002398,-0.014464
1800,785,0.9707,-10.0000,9.4140,10.0000,12.7452,-0.346858,0.003349,-0.013329
1900,779,0.9807,-10.0000,9.6149,10.0000,12.8331,0.163822,0.668008,-0.011402
2000,782,0.9757,-10.0000,9.5141,10.0000,12.7903,-0.403736,0.007195,-0.013381
2100,781,0.9757,-10.0000,9.5134,10.0000,12.7939,-0.230160,0.003713,-0.011196
2200,782,0.9757,-10.0000,9.5141,10.0000,12.7967,-0.365783,0.003853,-0.012531
2300,779,0.9795,-10.0000,9.5892,10.0000,12.8280,0.007975,0.003898,-0.014641
2400,775,0.9897,-10.0000,9.7935,10.0000,12.9084,-0.304304,0.007041,-0.011226
2500,770,0.9987,-10.0000,9.9740,10.0000,12.9883,-0.138555,0.006899,-0.013493
2600,775,0.9884,-10.0000,9.7677,10.0000,12.9032,0.126870,0.003053,-0.011087
2700,772,0.9948,-10.0000,9.8964,10.0000,12.9547,-0.082136,0.003037,-0.012413
2800,774,0.9910,-10.0000,9.8191,10.0000,12.9212,-0.307138,0.003930,-0.014115
2900,780,0.9782,-10.0000,9.5641,10.0000,12.8154,-0.145821,0.004938,-0.008408
3000,773,0.9922,-10.0000,9.8448,10.0000,12.9314,0.085142,0.001872,-0.008309
3100,774,0.9910,-10.0000,9.8191,10.0000,12.9212,0.341646,0.003718,-0.010798
3200,778,0.9833,-10.0000,9.6658,10.0000,12.8599,0.297134,0.003033,-0.013305
3300,776,0.9858,-10.0000,9.7165,10.0000,12.8866,-0.077236,0.004549,-0.013743
3400,773,0.9922,-10.0000,9.8448,10.0000,12.9366,-0.111974,0.002894,-0.013893
3500,773,0.9922,-10.0000,9.8448,10.0000,12.9327,-0.030304,0.002916,-0.012990
3600,774,0.9897,-10.0000,9.7933,10.0000,12.9186,0.298543,0.002659,-0.013905
3700,781,0.9757,-10.0000,9.5134,10.0000,12.8003,0.048369,0.001542,-0.013019
3800,772,0.9948,-10.0000,9.8964,10.0000,12.9547,0.308140,0.001272,-0.007913
3900,772,0.9935,-10.0000,9.8705,10.0000,12.9534,0.446359,0.001834,-0.005179
